name_project,project_desc,category_project
joki Bang Bang,This is a absolutely stunning game. This game Player Unknown's Battlegrounds is truely amazing. I have enjoy'd every second I have had in game. The graphics are amazing and the realism of the game is breath taking. I have nothing bad to say about the game.,"wibu, waifu, sepuh"
joki DOTA,"Singleplayer is amazing. The story characters map. Even after playing over and over again it's still entertaining. I like it way more than the GTA 4's story.As for online this is the reason why I don't recommend the game because I think that most people nowadays buy the game mainly because of the online. Don't get me wrong I used to love it played over 400 hours of pure online everything was awesome I thought that this is the perfect multiplayer game they are constantly updating it and there is a lot of stuff which has become the problem. A year and a half ago everything was more or less balanced the prices were reasonable. After the Import/Export things were getting drastically different. Looked like this to me ""Hey buddy want to enjoy the content? Well you should get our brand new garage only for 2M.""Then Gunrunning. Again my overall feelings ""Look at this cool update! The players will be able to get their bunkers only for 1.5M. Also don't forget to upgrade your equipment for another 1M. Did we forget to mention that getting additional people working for you will only cost you half a million? By the way you will time from time get raided and lose everything unless you buy another cameras for 400K! All the raids will magically disappear! Want to modify your weapons in your Workshop? Well too bad you need a trailer for that but don't worry it's only 1 to 2 and a half millions. Do you want to train your shooting? There you go only for 700K! Do you prefer white over black? The paint costs 105K so... Did we mention that you can take a nap there? The key for that room costs 265K. Do you want a Gun Locker which you will probably never use? That will be 175K. You want some caddies? 85K or 120K if you want to have them larger. Don't forget to check out the new cars! Get yourself a car that shoots a couple of missiles only for 4 5M!""How I felt about Smuggler's Run Hello there! This update will be about planes. Want a hangar? 1 to 5M. Which style would you prefer? The one for 100k or the one for 320k? Want different lights? No problem the more expensive style you chose the more expensive lights you'll get! Isn't that cool? Want some nice 'art' on the floor? Sure we'll paint it for you costs only up to 200k just like your apartment you bought last year to do heists! Furniture? You mean another wall? That's another 280k for you. Again want the keys to access your bed? 235k 375k. You want to customize your 500k glider? One word WORKSHOP! And guess what this number 1 150 000 means... Correct! It's the price!""The prices of the content added were skyrocketing if you wanted to truly enjoy the game you had to either make money all day long if you wanted to be a fair dude that doesn't hack which is by the way another big problem with this game or buy some cards that are horribly overpriced. At this point I didn't have time to play all day long I didn't want to hack and I totally didn't want to spend twice the price of the game on some cards so I stopped playing. Since then I've been ignoring the game not watching any videos and not paying attention to the updates. Sometimes when I notice that there's an update I come back for a couple of minutes and look how a vehicle with a couple of missiles costs over 4 millions. Now another heist update you might think this ""Oh finally another heist things are getting back to the state when you could buy a house for 200k and get full content.""The reality however looks like this ""Hey it's nice to see you back in the game look at this brand new heist room only for 2 millions the same idea only way more expensive.""And as a person who doesn't have that much time to play anymore I can't enjoy the content anymore. Another problem with this game are the hackers. I finally am thrown into a lobby after 10 minutes of loading I see that I am immediately teleported to an airport from my house with a couple of other people and I am stuck doing some rather strange animations. I always report the guy when I find out who it is but it doesn't seem to help. I've heard some heartbreaking stories of people getting banned for no reason this luckily hasn't happened to me yet.","waifu, free fire"
joki Bang Bang,Mašina &lt 310000000000000/10000000000000,"gg, free fire, valorant"
cari VALORANT,Here for the steam badge also its a fun game.,"free fire, pro player"
joki Cyberpunk,Найс игруля+,valorant
cari COD,GTA 5 is a great game dont get me wrong but it takes a really good pc to use I myself have a i7 12 gigs of ram 750ti (low end 1050ti) and I can only cap 30 frams on all the lowest settings if they fixed this it would have been a postive review but I cant even play the game.,free fire
joki NINTENDO,take two,wibu
joki DOTA,The game is okay in my opinion. I really liked it at first but after playing for awhile I wasn't really interested in it. I can see why a lot of people enjoy the game though. It's NOT a bad game but not my cup of tea. I still would recommend to anyone who likes battle royale games.,"sepuh, jodoh, wibu"
cari Minecraft,The game would be quite fun on it's own...but seems to suffer from a bunch of SOB's just ganking you from the get go when you only have a rock. This just spoils everything for me that this game could have been...After avoiding the gank fest problems on another server...this game still failed to live up to expectations. (,"cecan, cogan, waifu"
cari Bang Bang,Sweet game,"suhu, gg, cecan"
tutor GTA,This Game Is One Of The Best Even For Just An Alfa Its Basicly The 2 Hit Games Minecraft And Dayz Combined. This Game Is Also Played By A Bunch Of Popular Youtubers So If You Want To See Some Gameplay To Prove This Watch Them Or Others Who Get The Full Experiance. This Game Is Worth The Money But 1 Thing Im Hoping They Add Is A Single Player Gamemode. Okay Youve Read Enough To Know THis Game Is AWSOME!!!!!,"suhu, valorant, mobile legend"
cari Cyberpunk,The amount of angry entitled losers who keep tanking the games rating is a sorry example of the state of gaming today. You'd think the developers had publicly killed a puppy the way people are reacting instead of adding purely optional and purely cosmetic micro transactions. The game is fun zany and due to the amount of players and the way that it's structured you never know what's going to happen. I highly recommend this game. The new first person servers are definetly my favourite though. Third person too strongly favours camping.,"susah, cecan, pro player"
joki Roblox,Best Game involving cars.,"valorant, free fire, cecan"
joki GTA,I CAN FINALLY AERIAL!,"suhu, pro player"
cari Cyberpunk,Take Two clearly only cares about your $$$$ and nothing else not the loyalty to the franchise not the countless hours youve spent immersed in the GTA world and certainly not the hard work you put into making the experience better for the GTA community. I cant support anything from Take Two with such regressive business practices.,waifu
tutor DOTA,great game. devs actually care about it and work on it constantly. tons of replay ability,"gg, mobile legend, jodoh"
cari VALORANT,More addictive than nicotine infused heroin,valorant
joki Bang Bang,My third leg is HUGE 10/10,gg
tutor DOTA,"I've owned this game for several years now and from the start it has been a constant love/hate relationship. Over the years the changes made have both confused and excited me but sitting as is in it's released state I would say we are in a great place. Building is still hands down the best building any survival game has to offer. People are generally toxic unfortunately but meeting those select few has created friends that I think very highly of. Enjoyment is entirely what you are willing to put into this game and it definitely does have its moments of absolute ""I'M DONE AND CANNOT PLAY THIS ANYMORE! UNINSTALL!"" but getting the bow kill on a geared guy causing chaos to some nakeds will ALWAYS trump that feeling. Buy the game it's worth the money.","valorant, wibu, gg"
joki Destiny,Best open world game till now D,sepuh
joki Destiny,You spawn you see another naked you try to talk to them you get a rock hurled at your head.0/10 this game lost the social aspect which made it fun.,"waifu, pro player, jodoh"
tutor Bang Bang,THIS GAME ING TRIGGERS ME,susah
joki Genshin Impact,This game is ing gay and im dong this for the badge.,"mobile legend, free fire"
tutor Destiny,Y'all already know why I'm giving this a negative.,sepuh
tutor Clash Royale,Simple concept ridiculous high skill ceiling.,"sepuh, gg"
cari ML,It's the Hallmark holiday special of video games.,gg
tutor NINTENDO,The game is fantastic BUT if you aren't sure your computer will run it don't risk. I could barely get 12 FPS on lowest settings when I can run CS GO with 100 FPS just fine.,"waifu, pro player, suhu"
joki DOTA,It's like fifa except you aren't getting pummeled by Jamaicans,"cogan, waifu, mobile legend"
joki COD,Its awsome game and i love the feel of it,"wibu, sepuh, gg"
joki Roblox,Product received for free. Very fun game to play especially with friends. Would recommend to buy it if you enjoy battle royale games.,suhu
joki NINTENDO,Can someone my,"cecan, suhu, susah"
cari GTA,Good game. Better gunplay than Arma 3 mod by far. Games are quick so its not incredibly dismaying if you die early on. Wish customization was more implemented than it is i.e. gun skins vehicle skins maybe even tattoos. Still pretty fun its optimized like a better DayZ so its laggy even on a borderline supercomputer (1070 and 4690k 28gb RAM) but still playable (lowest I get on ultra is 30ish and 60 max as expected).,"waifu, wibu, sepuh"
cari Bang Bang,Winner winner chicken dinner!,"wibu, jodoh, mobile legend"
cari COD,Edit Seeing that they patch this game pretty frequently I'm going to change my review to a recommended. Though i stand by much of what I said in my previous review. We'll see if they fix the problemsThis game has an AMAZING concept and really needs to be better. I love the gameplay. When it works. WAY too many bugs. I will change my review and sing the games praises if the creators put more energy into fixing bugs. This game was NOT worth the price I paid for it considering how often it simply doesn't work. Buttons sometimes don't register. I've healed people who have already exited and survived. I've fallen through the floor of the map and died. COUNTLESS times I have been sitting waiting at the loading screen until I realize I need to force close the program. You have to make a new party when you want to change who the killer is. Only killer can be host. Garbage. Your core gameplay is really good and the game deserves to not be soffocated by having broken bells and whistles. Fix the game and I'll fix the review.,"waifu, jodoh"
cari Minecraft,Take two interactive now seem to have a stricks anti modding policy with effectively banning OpenIV (the backbone to a large amount of GTA V mods) they aim to push people away from single player and into multiplayer in an effort to make them spend more money on micro transactions. Looks like having the 4th best selling game of ALL TIME and making billions of dollars already wasn't enough for Rockstar and Take Two. GTA IV didnt have this problem as Rockstar was not as money hungry and didn't have micro transactions in their game. What a disgrace.,"cecan, cewek, cogan"
tutor ML,&gt Spawn in at 1 in the morning&gt Loads of nodes wood and hemp everywhere&gt Harvest a tonne of each resource&gt Break barrell and learn revolver blueprint&gt Find large furnace start to refine&gt tab out for one sec&gt tab in and die to helicopterthis game is cute and i love it,"susah, cewek, waifu"
tutor COD,5/7,cewek
joki ML,this game has more problems then any game in history and needs way to much work it may be in early access but it is so early and bad then when i am playing i feel like im beta testing before the game even hits the market. Bottom line you should get paid to play this game not pay to play this game.,cecan
cari GTA,Awesome game but the servers still lag alot fix that plox...,"waifu, cogan"
cari Minecraft,Game is pretty good. Graphics sre good story is good with lots of possibilities. There is a minus tons of hackers tryhards in online. For me I'll vote 7/10,"cewek, wibu, cogan"
cari NINTENDO,Very fun to play definitely worth for its price,"jodoh, cewek"
cari Clash Royale,I allways use the table dance a lot.Great game.,"suhu, mobile legend, pro player"
tutor Clash Royale,good,"jodoh, cecan, waifu"
joki Clash Royale,Very good game,"free fire, pro player, wibu"
joki Cyberpunk,nice,gg
joki PUBG,Dead by daylight is a fun game.. An on the edge of your seat kind of game... I give it a 8 10,"sepuh, wibu, cecan"
tutor PUBG,harvest suppliesbuild basebuild equipmentlog offlog on been raidedrepeat,sepuh
tutor Roblox,Very fun game especially with friends,"cogan, suhu"
tutor Clash Royale,This game has it all. Soccer basketball tornadoes plungers hockey cars. It's amazing and I would recommend it to anyone.,mobile legend
joki NINTENDO,"Great game thats full of potential!!! Please keep up the work! The game has good graphics that can be easily ran on low graphics pc's and the games whole everything is user friendly and it takes me out of the harsh FPS's and MMO's and puts me in a calm and relaxing game. If you like space engineers you'll love this game. Keep up the ""eye candy"" of the game! The game has so many different shapes and textures! It makes the game have its own Pop! The game is good for any age between 10 15+ in my opinion Overall 9.5/10. I am really excited to see this game grow into something amazing Carl the unofficial official game reviewer",cogan
joki COD,BEWARE BEWARE!!!!!!!!!!!!!!!!I can no longer play the game. Every match i get in it crashes. locks up my whole computer. I have to hard reboot every time i try to play. If a game can hijack your computer it should be deleted. This game is evil. cannot get game to play anymore.,"free fire, jodoh"
cari GTA,Nope. They refuse to fix their game. All they see are the dollars signs rolling in and ignore the MAJOR issues with a large portion of their playerbase. Their inability to limit the rampant hacking and cheating has gone too far. They know it's a major issue and yet it has been months and months with nothing. Every third game is ruined by a hacker BUT they care more about putting a unoptimized XBOX port out then fixing the issues staring the millions of customers in the face who purchased the game and are being ignored. Stop worrying about cosmetics and loot boxes because when you try and release something new down the road all of us customers will remember how you did NOTHING and will not purchase from these developers again. Think long and hard if you want to have a frustrating gaming experaince because PUBG Corp/Bluehole refuse to do anything that doesn't line their pockets. 100% the wrong way to do business.,"pro player, waifu, suhu"
joki Minecraft,Great game. Really fun. I recommend highly.,"cewek, valorant, suhu"
cari FF,Review Rocket League isn't the traditional game. You think its something to do with well rockets however... Really football with RC cars which have boots. Even if your not a fan of football its still a great game. Definitely a fun and hetic game. To add you can also make other cats explode on contact if you have enough speed. Overall Verdict Graphics 8/10Gameplay 8.5/10Variety 4/10 (No new content) Final Verdict This is a game which should be in everyones Steam libary even if not for a serious game just to relax or a bit of quick fun.,suhu
cari DOTA,great games even better with friends. but be weary of the moders though some of them are nice.,"valorant, free fire, cewek"
joki Resident Evil,Fix your game....,cogan
joki VALORANT,To be honest... Wait till an actual release. Game is beyond broken. Not worth the money to alpha test. Might be a good game someday but as it sits.. It's highly frustrating to play.,"pro player, cecan"
joki Minecraft,How can i connect and find facebook friends like Pubg mobile ?,mobile legend
tutor Minecraft,Simply stated this game is fun very fun. With countless things to do in both singleplayer and multiplayer GTA V has proven itself to be an abnormally enjoyable title that in not even two weeks I have managed to sink over 60 hours into. This is quite a large sum of time yet I am only 29% into the story mode and rank 38 in GTA Online. There is so much more to be done and I know this is a game that I have no regrets for buying.,"susah, wibu"
cari COD,This is one of the best game I've played so far. The story mode is really entertaining and once you finish you can play online with friends or the online community. There are some cheaters on online mode though. You can own apartments houses discos yachts cars helicopters planes and a lot more. You can become a CEO and hire other players to make money and increase your power. I personally recommend the game because it's really well made and has almost no bugs.,"cogan, cewek, waifu"
cari VALORANT,I had a lot of fun playing this with my friends. Much better than h1z1,"sepuh, cogan"
tutor DOTA,GG,"jodoh, wibu, cogan"
cari Destiny,Recommended Awesome Theft game ever love it thug life peace out.,gg
cari NINTENDO,++++,"susah, cogan"
joki PUBG,It fun at times,susah
cari GTA,Haven't been outside in years cuz of this game.,"valorant, cewek"
cari VALORANT,D,"mobile legend, pro player"
joki Cyberpunk,This game it's my favourite one,"cewek, jodoh, susah"
cari ML,It's a love hate relationship.,"cogan, waifu, cewek"
tutor Roblox,Нармальна,susah
joki FF,I've been anticipated for this game since the first trailer came out. I was sad when it didn't come to PC at first but when it did boy was I hyped. The gameplay is great the graphics are great the story is great and the online mode (even though there are quite some hackers) is marvelous as well. I could do nothing but praise this game!,"cecan, pro player"
tutor PUBG,massivily successful and still servers. Other BR games are 1000% more smooth and just as fun if not more. I cant see myself ever jumping back on PUBG anymore after this,"cecan, sepuh"
tutor Genshin Impact,"It's regular ol' skyrim just with more realisitc lighting. That's it. No new content no enhanced meshes or textures no fixes to cruddy npc AI or anything of the sort. If you already have vanilla skyrim there is NO reason to spend money on this. I already had the full set so I got it for free but I would never even consider ""upgrading"" otherwise. You can get a much better experience with regular skyrim just by adding a few choice mods. I really don't know why bethesda even made this a thing. They could've just made a lighting patch for the original. Seriously why does this exist?!","pro player, cogan, susah"
joki Genshin Impact,too much chinese,valorant
tutor ML,Yeh forget my last review its crap.its a buggy mess and it will never be a finished game.,"cecan, suhu, cewek"
cari PUBG,This game is actually awesome,"waifu, mobile legend, gg"
joki FF,Fornite is quite the solid game but definitly more work and time.. 1/10 GigglesWait what? This isn't fornite?,"susah, mobile legend"
tutor Genshin Impact,Fortnite but for people with money,waifu
cari Roblox,its ok,"gg, susah, mobile legend"
tutor VALORANT,Good game but my character's is too small ( !,gg
joki Genshin Impact,Rocket league is a simple yet dynamic game for all skill levels. Starting out as a rookie you will rise through ranks and playstyles alike. Where new players will have great fun in learning the elemental controls and hitting the ball where it hurts more advanced players will want to start testing the merits of flying. Having conquered these at an elementary level the fun starts for real. There's really no limit to the amount of idiotic tenuously difficult flying actions you can perform. And oh imagine the joy of leaving your opponents dumbfolded in sight of your absurdly awesome goals!,"free fire, susah, mobile legend"
cari DOTA,Product received for free. Upgraded version of one of my top games.,"suhu, sepuh, waifu"
tutor GTA,can ye tell me why its not woring i have lots of memory but its still not working,cecan
tutor VALORANT,Just like ye ol' days with SuperSonic Aerobic Rocket Powered Battle Cars. But with csgolotto.,"waifu, pro player"
joki PUBG,Product received for free. Best games to play with friends!,"sepuh, jodoh, pro player"
joki PUBG,"""10/10"" IGN","wibu, cogan"
cari PUBG,f,"pro player, mobile legend"
cari Minecraft,Has great potential but in just 8 hours I was killed on sight by a community.,"susah, suhu, valorant"
cari Bang Bang,pc,wibu
cari Destiny,Rocket powered vehicles try to score goals and win matches. Doesn't get any simpler than that (Seriously it's an awesome sports/arcade game which is a lot of fun especially playing with friends).,"free fire, wibu"
joki GTA,I r8 dis game cus dis game is rlly rad. U can go kill ppl and stuff and do heist and missions. Also da best part bout dis game is u can go to strip club. yeah a strip club not with an 's' cus der is only one strip club. sux,"susah, cogan, mobile legend"
tutor ML,Son like an activated this classic game on his account so now ive bought all the DLC But cant use it unless he says yes you can?!?!?,"wibu, jodoh"
tutor NINTENDO,best games for the genre of action adventure and open world game,cewek
tutor DOTA,The game is now in the best state is has ever been in 3 different maps ability to choose maps as well as much better optimized than before. Kash,"cewek, waifu"
joki FF,Product received for free. its not bad,gg
tutor Minecraft,Except for the optimization issues a great game. 3 million people can't be wrong.(That's what they said about Donald Trump).,"free fire, waifu, pro player"
tutor VALORANT,great game rage bugs cheaters all in one just for 29 99,susah
tutor Bang Bang,Open IV is gone and so am I. Bring it back and I will delete this review but with out modding GTA is crap.,susah
cari GTA,good game,"sepuh, pro player, gg"
tutor Genshin Impact,Like It,"pro player, suhu, cogan"
tutor Destiny,Spicy AF Boi,"waifu, free fire"
tutor Minecraft,Grand Theift Auto 5 is literally one of my favourite games when I want to kick back relax and blow stuff up. I have spent most of my time playing this using their online feature and it's great. They constantly update it making it better than before. This game has really come a long way and I do recommend it to people who like free roaming chaos.,wibu
joki ML,I SERIOUSLY DON'T LIKE THIS GAME SINCE THE BIG UPDATE AND THE NEW MAP ( YOU RUINED IT... YOU HAVE TO MAKE US ABLE TO CHOOSE WHICH MAP WE WANT TO PLAY!,"cogan, jodoh"
joki GTA,Please Update the Graphics ASAP coz My fps is below 60 but I have gtx 1050 ti ( Is my Video Card not enough for the game? (((,"jodoh, sepuh"
tutor Genshin Impact,great game highkly reccomend if you have a squad of 5 memebers or 4 great fun and is well designed,"susah, valorant, cewek"
cari COD,Game of the year !,"valorant, gg, waifu"
joki FF,150+ hours in and still finding new things to learn.,"valorant, free fire, sepuh"
cari Resident Evil,Don't buy this trash game it used to be fun but they literally never made the game any better it's still flawed and now they spam you with ads to buy skins and other garbage. The game had potential but it was ruined.,"jodoh, cecan, susah"
tutor Bang Bang,Product received for free. Best game I have ever played in my life!!!!!!!!!!!!!!!!,"free fire, sepuh, wibu"
tutor Minecraft,I have been playing this game for more than 700 hours since the early access.There were periods that the game was really bad but I was keep playing and supporting it hoping that they will fix it one day.Now the game is unplayable to a point that after so many hours I cannot stand it.This company is a joke really they do not care simply... So goodbye from me glory hole sorry bluehole and if you read this just don't buy the game.,"valorant, cecan, wibu"
joki ML,Great game many things to do. Some things dont work some things do. Has given me many hours of entertainment.,gg
joki ML,I absolutely love this game! Not as scary as the trailers made one assume but it's still a wonderful game to play with friends!,"wibu, free fire"
cari COD,"First I owned the PS3 version then bought the PC version lured in by some gameplays on youtube.I already finished story mode in the PS3 version (finished as in I got bored by the bland characters without any agency other than ""gotta make that paper brah"" and stopped playing the game because the world was boring and the cops were killing any and all fun to be had) so I basically bought this for online mode.The good things first OptimizationThe game runs great. The Framerate seldom dips. GraphicsIt looks pretty good.Now about the negative aspects. GTA online is a boring grind. I told myself I'd not care about money and levels but it turns out you have to and you have to grind the same few jobs over and over and over to get money and rank points to level up because EVERYTHING is hidden behind a pay and rank wall so tall Trump would tell Rockstar to take it down a notch. The payouts are really poor so it takes you forever to save up money for something you'd like but can't buy because your level isn't high enough. Now I wouldn't mind this if the races were fun but all I get is the same boring supercar race (looking at you congestion charge) over and over then maybe some ""muscle up"" perhaps one or another offroad race but they're all equally dull.Where the hell are the oddball races? Taking rusty tractors down Mt. Chiliad? Racing golf carts on a runway which planes are taking off and landing on? Cycling on the freeway in the opposing lane with traffic on? Helicopter races through the wind mill farm? Faggios through a cow farm? ANYTHING ELSE THAN ANOTHER ""DRIVE THIS EXOTIC SUPERTURD ON THE SAME COURSE YOU'VE DRIVEN ON COUNTLESS TIMES JUST TO GET THAT MEASLY PAYOUT?""Oh"" you'll say ""Just make these races yourself and then host them"".Yeah I'll make them and then grow a nice beard waiting for even one soul to join. Sounds like real fun.In the end this game feels like nothing but a skinner box to make people buy shark cards.",jodoh
cari Minecraft,"For those who have played ARK the style of gameplay is very similar.Collect items from the world around you build tools to colelct from new sources/more efficiently and don't let the vicious animals see you or they will eat your face. In Rust however there is no character creation. You all spawn as a big naked dude. Thank goodness for the pixelation or else I would have had a LOT of explaining to do to my mother.It is quite difficult to figure out what you are doing in this game especially on a server. I reccomend either finding an empty server or starting one in order to get used to what is going on. Early game it's easiest to hang around the towns where you can readily find blueprints water food and items.Right click is usually ""throw"" avoid clicking this unless you want to fling your items into the bushes to be lost forever.As far as finding your friends navigating the map is rather hard. My suggestion would be to either find a rad town and follow the road/powerlines until you locate one another or to have one person set up a quick base with a sleeping bag for the other person to spawn in.Starting as a new player on a server with established clans isn't going to work. You are going to be killed repeatedly it's going to be frustrating and you're never going to get to actually play the game. PVE servers are great for learning and the people there are usually very willing to help you along just pay attention to the rules.Helicopters are evil. If you hear a helicopter RUN. You cannot win againt this thing without some serious firepower. Hide somewhere with a decent roof and away from open windows/doors.Watch the sound levels especially when first logging on. If you think the footsteps are loud? Wait till someone sets off a shotgun near your head. I about jumped out of my skin.There are a few serious glitches in the game but nothing that absolutely breaks it. Be warned bear traps do NOT in fact work on bears. Doors can be glitched through under the right circumstances and occasionally the naked people who logged off will float above the ground for no apparent reason.Overall this is a fun game but seems to be one where you can upgrade everything to a point and then have nothing left to do. This is solved on PVP servers by having others around to attack/be attacked by however it leaves little to do for those on less populated or PVE servers. Hopefully there will be more updates for the game as I am greatly enjoying it so far and hope to continue.","susah, wibu, cogan"
joki Destiny,good game!!!,jodoh
tutor Cyberpunk,Product received for free. The Elder Scrolls V Skyrim Special Edition is a worse version compared to Vanilla one. Pros + Has better textures + They 've corrected previous game mechanic issues like saving a game. What i mean is that in the vanilla version for expample when you ended the game you had lets say 5.000 saves and when you begun a new one you had like 5.001. in Special Edition when you end the game and you have 5.000 saves now when you begin a new game you have actually 0 saves. + They've added the Mod option in the game menu which is very comfortable compared to Vanilla one. + SE now supports 64 bit which means it is in theory capable of loading so much more into memory and in turn that should mean far more epic modsCons The sound quality has been seriously downgraded Vanilla Skyrim has tons of mods compared to SE meaning more choicesNevertheless i do recommend the game. If I gave in Vanilla 20/10 then i should give in Special Edition 8/10.,mobile legend
joki PUBG,Best competitve game ive ever played excluding CS GO but even more fun,cecan
joki COD,Best game ever!,"waifu, valorant, cewek"
joki Roblox,the ultimate lag and bug fightits harder to start the game then the game it self,"cogan, wibu, free fire"
cari Genshin Impact,fun game worht the money,"susah, pro player"
tutor PUBG,one of the best,"cecan, gg"
cari GTA,Thanks to console peasants for beta testing 6/5 #pcmasterrace #kappa,susah
tutor Cyberpunk,WHEN THEY GOT RID OF MODDING I SAW MORE MODDERS THAN EVER!!!,"gg, mobile legend, sepuh"
tutor COD,Publishers sued 3rd party mod makers will never be as fun as San Andreas Multi Player (SAMP) mod was. I dont care for instanced out mini games and chopped up worlds pretending to be open world. Played less then 5 hours uninstalled will not touch the game again. I personally hope this genre dies off or the devs do etc.,"sepuh, gg"
joki NINTENDO,"this game is great. if it works. honestly it has SO many issues with controllers. it has so many issues with computers in general. be ready to get frustrated at ""rocket league has stopped working"" crashes and stuff. even happens in the middle of a game.",cogan
cari NINTENDO,its really goog,"free fire, suhu"
tutor PUBG,Product received for free. This is a awesome game,cecan
cari ML,Product received for free. the bst game to play i hope thay bring back characters transfer,"pro player, cogan, susah"
cari COD,Great game and one i have been looking for for a long time. love that you can play either slow or fased pased. I recomend this to everyone as playing in a 4 man team is a blast. This is what wildlands should have been like!,"pro player, free fire"
joki ML,addictive simple really fun physics are well done long overdue game idea executed nicely,cewek
tutor ML,I WENT HOARSE BECAUSE OF THIS GAME,"cogan, waifu"
cari ML,Well worth $20,pro player
tutor NINTENDO,stop playing for maybe 2 months come back and all of the I grinded out for gone.There goes my enthusiasm to play this game anymore camping and the fact that its been months since its release but still no in game comms other than the idiotic chat board just held this game back. They would much rather release as much skins as they can to milk this game,"jodoh, cogan"
joki Clash Royale,Gret multiply game u have to learn much things if u want to be a great player,"cecan, cewek"
joki Destiny,Lagging in Asia server Indians and Nepalese don't buyYou will regret I can't get a refundBecause I was afk,"cogan, pro player"
cari NINTENDO,I got around 70h playtime in story mode as i do not like the comments about online version and didn't play it.Story mode so single player was fun so far but slowly (actually since a while) it is getting boring.Actually all i was doing was driving cars shoot around grab guns from police and military and running away from them...Tried to explore building but all was closed (99%of it).I played a little bit of mission goals but that was boring after 6 7 mission. Then changing the characters?Don't know what is that good for I hate that already from resident evil.It is a huge world but somehow dead (except you can drive cars shoot at people fight with the police)But hey i saw it now and i played Dying Light &amp Just Cause 3 before and the world there is so much alive and much more interesting more fun to play. Going back there Sayonara!Would like to recommend the game but can't do that 'cos most of the time i fight police to take their guns/ammot???And online part isn't really playable according to already existing comments.Can't recommend your game becasue of that...,free fire
joki FF,I like this game. I really do. But god damn. IT TAKES AGES TO LOAD GRAND THEFT AUTO ONLINE. The longest time I waited was a full 24 hours. Not joking. By then I didn't even care. I just closed it. However. The pros for this game. Racing is extremely fun. With different modes. You can now play solo in GTA online. Which is great when you don't want 4 year olds messing up a mission for you. I love doing heists. Its exactly like payday 2. BUT BETTER. Tons of weapons mods. Cars that are updated and implemented into the game like every week.,"mobile legend, sepuh, pro player"
cari Minecraft,great game ).,mobile legend
joki Genshin Impact,Best Game Ever,"free fire, susah, suhu"
cari COD,the amount of times in have die to that stupid red zone its unrealy and stupid coz when u put the effort into killing people and getting gear is bed enough and out the blue your dead to red zone your gonna lose so many players its just streamers that play it for money anyway,sepuh
tutor COD,by far one of the greatest games in terms of fun and competition and should be a game on everyone's xmas list,"pro player, mobile legend"
joki NINTENDO,The Game itself is pretty good. Loot isnt rare so everyone gets a gun and nobody is underpowered.The Map is pretty big.The Servers are tho. I didnt had 1 Game yet that i could finish. Either its lagging out or you get disconnected completely.The Game is not running very well yet. Im on i7 4790k and 980Ti so my Setup shouldnt be too bad. My FPS are on 60FPS dipping down to 40 again and again. For me thats allright. But not everyone has such a good GPU.If you want a Game that works well dont buy this game YET. This Review will Change depending on how the Game runs in the future and how the Devs improve the game and the Servers.,"valorant, mobile legend"
joki COD,Great concept! However a lot of optimizations are needed. Then again we are still in the beta phase.,pro player
joki GTA,I honestly don't get it. Why is this so popular? It's exactly like H1Z1 but with worse connectivity issues and hit reg. H1 came first so why the hate for H1 and the praise for PUBG? They're both terrible RNG based broken games.,sepuh
joki VALORANT,All I have to say is that its a great game fun mechanics and it provides alot of customization. There is alot of depth to the jumps arials and boost management. There is the BEST soundtrack for a game Ive heard EVER BUT The community is among the iest I have ever seen. Its gotten to a point where coming across a decent person is rare and an coming to ME is too common. And sure anyone can take but when its every game? Thats where I draw the line. This could be just me idk but that was my expiriance. Though I highly recommend it 8/10 wow! wow! wow! wow! wow! what a save! what a save!,sepuh
joki Roblox,fun game,"cewek, wibu, valorant"
cari Resident Evil,Product received for free. Completely survivor sided looping toxic nonsense of a crap game.,"susah, pro player, cogan"
joki GTA,I think that in game technology is moving faster than today's world and just this is disturbing me. Game mechanics very good Can be fun if you have friends but I just play with utku and that's enough for me.,suhu
cari Minecraft,Banning modding? That's a no from me Jack.,"gg, pro player"
joki Cyberpunk,Product received for free. Hmm what to say here. Take a 5 year old game and give it a new coat of paint and a new engine. That pretty much sums up this version of the game. If your used to playing the game modded your likely to end up disappointed. However now that Skyrim is on a 64 bit platform the new mods for the game will have far less constraints. If you have an unmodded save however you can directly copy the save into this version and it will work. Honestly asking if you like this version is the same as asking what your favorite color is. Skyrim is still skyrim and personally I like that I can now dump more then 4GB of memory into the application. Besides that I havent really noticed much difference.,cewek
cari NINTENDO,wew lad it's totally ғᴜᴄᴋɪɴɢ ғᴜᴄᴋᴇᴅ mate big time.,free fire
joki COD,It is a very good game. But it isnt recomended for people that rages a lot and quickly gets mad. Very fun btw,free fire
cari FF,Product received for free. Greatest Battle Royale Game !!! So interest,"cewek, wibu, gg"
cari COD,It's just SO GOOD!,cewek
tutor Destiny,take two. enough said.,mobile legend
tutor PUBG,Overall fun game even with all the bugs. It feels like the game is more survivor sided with there being more and more perks and balances to make the game easier for them. Really wish the devs added more things to make it fun. Like custom KYF where you could change the amount of survivors gens killers and have some community made maps. However in its current stance the game is a bit unbalanced and there are things that game could change.,"mobile legend, jodoh, waifu"
cari Clash Royale,China number one!,"free fire, cewek"
cari Cyberpunk,Its really great game and fun to play!,"wibu, jodoh, cewek"
cari GTA,Fun. Addictive Great with friends,valorant
joki NINTENDO,Best game,"jodoh, waifu"
joki NINTENDO,nice game,"sepuh, susah, gg"
