ID,Skill,Genre,Experience,Difficulty Rating
2523,Beginner,Simulation,5 years,Moderate
2524,Beginner,Puzzle,5 years,Easy
2525,Beginner,Racing,4 years,Easy
2526,Intermediate,Adventure,5 years,Moderate
2527,Advanced,Simulation,5 years,Difficult
2528,Beginner,Strategy,1 year,Challenging
2529,Intermediate,Sports,4 years,Easy
2530,Beginner,FPS,1.5 years,Challenging
2531,Intermediate,Platformer,2 years,Challenging
2532,Advanced,RPG,2.5 years,Easy
2533,Intermediate,Racing,1 year,Moderate
2534,Advanced,FPS,2.5 years,Easy
2535,Intermediate,Strategy,2 years,Easy
2536,Advanced,RPG,6 months,Easy
2537,Intermediate,Sports,6 months,Difficult
2538,Intermediate,Strategy,2.5 years,Difficult
2539,Beginner,Platformer,3 years,Difficult
2540,Intermediate,Sports,2 years,Moderate
2541,Beginner,RPG,5 years,Easy
2542,Beginner,Puzzle,5 years,Moderate
2543,Beginner,Sports,1 year,Difficult
2544,Intermediate,Strategy,4 years,Easy
2545,Intermediate,Sports,5 years,Easy
2546,Beginner,RPG,5 years,Challenging
2547,Beginner,Simulation,3 years,Difficult
2548,Intermediate,Simulation,1 year,Challenging
2549,Intermediate,Strategy,1 year,Easy
2550,Intermediate,Platformer,4 years,Easy
2551,Advanced,Simulation,3 years,Moderate
2552,Intermediate,Puzzle,1.5 years,Moderate
2553,Beginner,Sports,3 years,Easy
2554,Beginner,FPS,4 years,Easy
2555,Beginner,Sports,6 months,Difficult
2556,Intermediate,Strategy,4 years,Difficult
2557,Advanced,Simulation,6 months,Moderate
2558,Beginner,RPG,2 years,Difficult
2559,Advanced,Racing,5 years,Challenging
2560,Advanced,Racing,4 years,Challenging
2561,Intermediate,RPG,1.5 years,Challenging
2562,Beginner,Platformer,2.5 years,Moderate
2563,Beginner,Adventure,5 years,Challenging
2564,Beginner,FPS,1 year,Easy
2565,Beginner,Sports,1 year,Easy
2566,Advanced,Simulation,2.5 years,Difficult
2567,Advanced,Sports,2 years,Easy
2568,Beginner,Simulation,3 years,Challenging
2569,Beginner,RPG,6 months,Difficult
2570,Advanced,Platformer,4 years,Difficult
2571,Advanced,Simulation,3 years,Moderate
2572,Beginner,Strategy,6 months,Easy
2573,Advanced,FPS,3 years,Moderate
2574,Advanced,Sports,4 years,Challenging
2575,Advanced,Platformer,2.5 years,Difficult
2576,Beginner,Strategy,3 years,Difficult
2577,Intermediate,Puzzle,3 years,Easy
2578,Intermediate,Platformer,6 months,Moderate
2579,Advanced,Adventure,3 years,Easy
2580,Intermediate,FPS,4 years,Moderate
2581,Advanced,Sports,6 months,Easy
2582,Intermediate,RPG,4 years,Challenging
2583,Beginner,Puzzle,1.5 years,Difficult
2584,Beginner,Simulation,2.5 years,Moderate
2585,Advanced,Simulation,2.5 years,Challenging
2586,Intermediate,Platformer,4 years,Challenging
2587,Beginner,FPS,1 year,Difficult
2588,Intermediate,Strategy,1.5 years,Moderate
2589,Intermediate,RPG,5 years,Difficult
2590,Beginner,Puzzle,4 years,Challenging
2591,Intermediate,Strategy,1 year,Easy
2592,Advanced,Sports,4 years,Easy
2593,Advanced,Simulation,6 months,Difficult
2594,Advanced,Platformer,1 year,Difficult
2595,Advanced,RPG,2.5 years,Moderate
2596,Advanced,Strategy,6 months,Difficult
2597,Intermediate,Adventure,5 years,Moderate
2598,Intermediate,Puzzle,1.5 years,Difficult
2599,Beginner,Simulation,3 years,Challenging
2600,Beginner,Strategy,1.5 years,Easy
2601,Beginner,Sports,1.5 years,Difficult
2602,Beginner,RPG,4 years,Easy
2603,Advanced,Strategy,2.5 years,Moderate
2604,Beginner,Puzzle,3 years,Challenging
2605,Beginner,Adventure,2 years,Challenging
2606,Intermediate,Puzzle,1 year,Moderate
2607,Intermediate,Adventure,4 years,Challenging
2608,Beginner,Adventure,2.5 years,Moderate
2609,Intermediate,Strategy,1 year,Difficult
2610,Intermediate,Simulation,2 years,Easy
2611,Advanced,Sports,1 year,Challenging
2612,Advanced,Platformer,3 years,Challenging
2613,Beginner,FPS,4 years,Challenging
2614,Beginner,Simulation,2.5 years,Challenging
2615,Advanced,Platformer,3 years,Moderate
2616,Beginner,FPS,2 years,Easy
2617,Intermediate,FPS,6 months,Moderate
2618,Beginner,Strategy,2.5 years,Challenging
2619,Beginner,FPS,4 years,Difficult
2620,Intermediate,Adventure,2.5 years,Difficult
2621,Advanced,Sports,2 years,Easy
2622,Intermediate,Platformer,4 years,Moderate
2623,Advanced,Platformer,1.5 years,Challenging
2624,Beginner,Simulation,5 years,Challenging
2625,Intermediate,Adventure,2.5 years,Easy
2626,Advanced,Strategy,2.5 years,Challenging
2627,Advanced,FPS,5 years,Easy
2628,Intermediate,Platformer,3 years,Moderate
2629,Intermediate,Adventure,4 years,Challenging
2630,Advanced,Racing,6 months,Difficult
2631,Advanced,RPG,2.5 years,Difficult
2632,Intermediate,Strategy,1 year,Difficult
2633,Advanced,Simulation,1 year,Challenging
2634,Beginner,Racing,1.5 years,Difficult
2635,Advanced,Racing,1 year,Easy
2636,Advanced,Racing,2.5 years,Difficult
2637,Advanced,FPS,4 years,Moderate
2638,Beginner,Adventure,2.5 years,Easy
2639,Intermediate,Sports,1.5 years,Moderate
2640,Intermediate,RPG,3 years,Moderate
2641,Beginner,FPS,1 year,Moderate
2642,Advanced,Platformer,2 years,Moderate
2643,Advanced,Racing,5 years,Challenging
2644,Intermediate,Racing,3 years,Challenging
2645,Beginner,Platformer,3 years,Moderate
2646,Intermediate,FPS,1.5 years,Difficult
2647,Beginner,Racing,5 years,Challenging
2648,Beginner,Sports,2 years,Easy
2649,Intermediate,RPG,3 years,Challenging
2650,Intermediate,Adventure,2.5 years,Easy
2651,Intermediate,Adventure,1.5 years,Easy
2652,Advanced,Strategy,5 years,Challenging
2653,Intermediate,Strategy,5 years,Moderate
2654,Intermediate,Adventure,3 years,Easy
2655,Advanced,RPG,2 years,Easy
2656,Intermediate,Simulation,1.5 years,Challenging
2657,Advanced,Sports,5 years,Moderate
2658,Beginner,Platformer,2 years,Easy
2659,Intermediate,RPG,5 years,Challenging
2660,Beginner,Platformer,1.5 years,Moderate
2661,Advanced,RPG,3 years,Easy
2662,Beginner,Puzzle,5 years,Difficult
2663,Advanced,Simulation,4 years,Challenging
2664,Beginner,Racing,3 years,Easy
2665,Intermediate,Platformer,2 years,Challenging
2666,Beginner,Strategy,6 months,Moderate
2667,Advanced,Simulation,1.5 years,Moderate
2668,Advanced,Strategy,5 years,Easy
2669,Beginner,Strategy,1.5 years,Moderate
2670,Beginner,Adventure,2.5 years,Difficult
2671,Advanced,Platformer,2.5 years,Moderate
2672,Beginner,RPG,1 year,Moderate
2673,Advanced,RPG,1 year,Moderate
2674,Beginner,Strategy,3 years,Difficult
2675,Beginner,FPS,1 year,Easy
2676,Beginner,FPS,3 years,Challenging
2677,Advanced,Strategy,4 years,Challenging
2678,Advanced,Racing,3 years,Moderate
2679,Beginner,Strategy,5 years,Easy
2680,Beginner,Sports,2.5 years,Moderate
2681,Intermediate,Strategy,2 years,Moderate
2682,Beginner,Platformer,4 years,Difficult
2683,Beginner,Adventure,5 years,Difficult
2684,Beginner,Strategy,4 years,Moderate
2685,Beginner,Adventure,1 year,Moderate
2686,Beginner,Puzzle,3 years,Difficult
2687,Intermediate,Strategy,1 year,Moderate
2688,Intermediate,Simulation,2.5 years,Difficult
2689,Beginner,Adventure,1.5 years,Challenging
2690,Intermediate,FPS,1.5 years,Easy
2691,Beginner,Racing,4 years,Challenging
2692,Advanced,FPS,6 months,Difficult
2693,Advanced,Simulation,1 year,Moderate
2694,Advanced,Racing,1.5 years,Easy
2695,Intermediate,Puzzle,6 months,Challenging
2696,Advanced,Platformer,2 years,Easy
2697,Intermediate,RPG,5 years,Moderate
2698,Beginner,Strategy,6 months,Easy
2699,Advanced,Sports,6 months,Easy
2700,Intermediate,Racing,3 years,Easy
2701,Advanced,Strategy,2.5 years,Easy
2702,Intermediate,RPG,4 years,Difficult
2703,Intermediate,Adventure,1 year,Moderate
2704,Intermediate,Puzzle,2 years,Moderate
2705,Advanced,Racing,1 year,Challenging
2706,Intermediate,Simulation,6 months,Moderate
2707,Advanced,Sports,3 years,Moderate
2708,Beginner,Sports,3 years,Difficult
2709,Beginner,Sports,1.5 years,Moderate
2710,Intermediate,Simulation,3 years,Difficult
2711,Beginner,Strategy,4 years,Moderate
2712,Intermediate,RPG,2.5 years,Difficult
2713,Beginner,RPG,2.5 years,Moderate
2714,Advanced,Adventure,4 years,Difficult
2715,Beginner,FPS,1 year,Difficult
2716,Beginner,FPS,3 years,Difficult
2717,Intermediate,Strategy,3 years,Challenging
2718,Advanced,RPG,1 year,Challenging
2719,Beginner,RPG,2.5 years,Challenging
2720,Beginner,Sports,3 years,Challenging
2721,Beginner,Simulation,4 years,Challenging
2722,Intermediate,FPS,3 years,Easy
2723,Beginner,Strategy,6 months,Moderate
2724,Beginner,Strategy,1.5 years,Moderate
2725,Intermediate,RPG,6 months,Challenging
2726,Beginner,Adventure,1.5 years,Easy
2727,Beginner,Adventure,1 year,Easy
2728,Advanced,Strategy,1.5 years,Difficult
2729,Beginner,Sports,2 years,Moderate
2730,Advanced,Simulation,1.5 years,Difficult
2731,Advanced,Sports,5 years,Moderate
2732,Beginner,Platformer,6 months,Difficult
2733,Intermediate,Platformer,6 months,Easy
2734,Beginner,Puzzle,2.5 years,Difficult
2735,Advanced,Strategy,1 year,Difficult
2736,Beginner,Racing,1.5 years,Challenging
2737,Beginner,Racing,6 months,Challenging
2738,Advanced,FPS,5 years,Difficult
2739,Intermediate,Racing,1.5 years,Moderate
2740,Beginner,FPS,3 years,Challenging
2741,Advanced,Racing,3 years,Difficult
2742,Beginner,Puzzle,6 months,Easy
2743,Beginner,Platformer,2.5 years,Easy
2744,Beginner,FPS,2 years,Challenging
2745,Beginner,Racing,6 months,Difficult
2746,Intermediate,Strategy,1 year,Difficult
2747,Intermediate,Puzzle,2 years,Easy
2748,Advanced,Strategy,1.5 years,Challenging
2749,Intermediate,Adventure,3 years,Difficult
2750,Beginner,RPG,6 months,Moderate
2751,Advanced,Racing,1.5 years,Easy
2752,Beginner,Platformer,6 months,Challenging
2753,Advanced,Sports,2 years,Easy
2754,Advanced,Adventure,6 months,Difficult
2755,Beginner,Racing,1 year,Moderate
2756,Advanced,Racing,2.5 years,Challenging
2757,Intermediate,Puzzle,3 years,Challenging
2758,Intermediate,RPG,2 years,Easy
2759,Advanced,Simulation,2.5 years,Difficult
2760,Intermediate,Adventure,3 years,Challenging
2761,Beginner,Simulation,2 years,Easy
2762,Intermediate,Strategy,3 years,Easy
2763,Advanced,Adventure,1.5 years,Moderate
2764,Advanced,FPS,2.5 years,Challenging
2765,Beginner,RPG,1 year,Easy
2766,Beginner,FPS,1 year,Difficult
2767,Advanced,Racing,2.5 years,Moderate
2768,Intermediate,Platformer,3 years,Difficult
2769,Beginner,FPS,2 years,Moderate
2770,Intermediate,Platformer,1.5 years,Difficult
2771,Beginner,Strategy,2.5 years,Easy
2772,Intermediate,Simulation,2 years,Moderate
2773,Advanced,Sports,2 years,Difficult
2774,Advanced,Sports,1 year,Moderate
2775,Advanced,Puzzle,6 months,Easy
2776,Advanced,RPG,2 years,Difficult
2777,Beginner,Platformer,1 year,Moderate
2778,Intermediate,Platformer,2.5 years,Difficult
2779,Intermediate,Adventure,2 years,Difficult
2780,Advanced,Platformer,5 years,Difficult
2781,Advanced,Racing,1.5 years,Moderate
2782,Beginner,Puzzle,5 years,Challenging
2783,Intermediate,Puzzle,5 years,Easy
2784,Advanced,Racing,4 years,Challenging
2785,Beginner,FPS,6 months,Moderate
2786,Intermediate,FPS,6 months,Easy
2787,Advanced,RPG,1 year,Easy
2788,Beginner,Platformer,4 years,Difficult
2789,Advanced,Platformer,5 years,Moderate
2790,Beginner,Adventure,4 years,Difficult
2791,Intermediate,Sports,6 months,Easy
2792,Intermediate,Adventure,3 years,Challenging
2793,Intermediate,Racing,5 years,Difficult
2794,Intermediate,Racing,1.5 years,Easy
2795,Advanced,RPG,4 years,Easy
2796,Beginner,Sports,3 years,Challenging
2797,Intermediate,Adventure,2 years,Challenging
2798,Advanced,Sports,4 years,Challenging
2799,Intermediate,Simulation,1 year,Moderate
2800,Advanced,Sports,1 year,Easy
2801,Advanced,Platformer,1 year,Difficult
2802,Beginner,Puzzle,1 year,Difficult
2803,Advanced,Strategy,2 years,Moderate
2804,Beginner,Sports,3 years,Difficult
2805,Intermediate,Racing,2.5 years,Difficult
2806,Intermediate,RPG,3 years,Easy
2807,Beginner,RPG,2.5 years,Easy
2808,Intermediate,Platformer,5 years,Easy
2809,Advanced,Puzzle,1 year,Moderate
2810,Beginner,Adventure,2 years,Challenging
2811,Advanced,Platformer,5 years,Challenging
2812,Intermediate,Adventure,6 months,Challenging
2813,Intermediate,Sports,2 years,Difficult
2814,Beginner,Racing,3 years,Easy
2815,Advanced,Adventure,1.5 years,Easy
2816,Advanced,Puzzle,3 years,Difficult
2817,Advanced,Racing,1 year,Difficult
2818,Advanced,RPG,4 years,Moderate
2819,Advanced,Racing,1 year,Difficult
2820,Intermediate,Platformer,3 years,Easy
2821,Beginner,RPG,6 months,Moderate
2822,Beginner,Strategy,2 years,Moderate
2823,Advanced,FPS,3 years,Challenging
2824,Beginner,Puzzle,6 months,Difficult
2825,Beginner,Adventure,1.5 years,Difficult
2826,Beginner,RPG,2.5 years,Moderate
2827,Advanced,Puzzle,1.5 years,Challenging
2828,Intermediate,Strategy,1.5 years,Difficult
2829,Beginner,Adventure,1 year,Challenging
2830,Advanced,Sports,6 months,Moderate
2831,Advanced,Adventure,4 years,Challenging
2832,Advanced,Racing,2.5 years,Easy
2833,Intermediate,Racing,1.5 years,Moderate
2834,Advanced,RPG,1 year,Easy
2835,Advanced,Strategy,2.5 years,Difficult
2836,Beginner,RPG,2.5 years,Challenging
2837,Advanced,Racing,2.5 years,Challenging
2838,Advanced,Puzzle,3 years,Easy
2839,Beginner,Adventure,2 years,Challenging
2840,Advanced,Strategy,3 years,Difficult
2841,Advanced,Racing,6 months,Moderate
2842,Advanced,Puzzle,1 year,Difficult
2843,Intermediate,Adventure,1.5 years,Challenging
2844,Beginner,Platformer,4 years,Difficult
2845,Beginner,Platformer,5 years,Challenging
2846,Advanced,Adventure,6 months,Moderate
2847,Advanced,Sports,5 years,Challenging
2848,Advanced,RPG,1.5 years,Moderate
2849,Intermediate,Platformer,1.5 years,Challenging
2850,Beginner,Adventure,2.5 years,Difficult
2851,Beginner,FPS,5 years,Easy
2852,Advanced,Strategy,1 year,Moderate
2853,Advanced,Simulation,1 year,Difficult
2854,Beginner,Platformer,1 year,Challenging
2855,Beginner,RPG,2 years,Difficult
2856,Advanced,Simulation,1.5 years,Difficult
2857,Beginner,Platformer,1.5 years,Easy
2858,Beginner,FPS,6 months,Easy
2859,Beginner,Strategy,3 years,Moderate
2860,Intermediate,RPG,1.5 years,Easy
2861,Beginner,Racing,3 years,Challenging
2862,Advanced,Adventure,3 years,Difficult
2863,Advanced,Platformer,3 years,Moderate
2864,Beginner,Simulation,5 years,Easy
2865,Intermediate,Adventure,2 years,Challenging
2866,Beginner,Puzzle,2 years,Moderate
2867,Advanced,RPG,1 year,Moderate
2868,Advanced,Sports,2 years,Difficult
2869,Intermediate,Strategy,4 years,Easy
2870,Intermediate,Simulation,1.5 years,Difficult
2871,Beginner,Platformer,6 months,Easy
2872,Advanced,RPG,6 months,Moderate
2873,Advanced,Strategy,1 year,Easy
2874,Beginner,Simulation,2.5 years,Moderate
2875,Advanced,Racing,3 years,Easy
2876,Intermediate,Puzzle,3 years,Difficult
2877,Beginner,Strategy,4 years,Easy
2878,Beginner,Adventure,4 years,Difficult
2879,Intermediate,FPS,2 years,Easy
2880,Intermediate,Strategy,2 years,Moderate
2881,Intermediate,Simulation,3 years,Difficult
2882,Intermediate,Puzzle,4 years,Challenging
2883,Intermediate,FPS,2.5 years,Easy
2884,Advanced,Strategy,2 years,Challenging
2885,Advanced,Racing,3 years,Moderate
2886,Intermediate,Racing,1 year,Easy
2887,Intermediate,RPG,4 years,Difficult
2888,Intermediate,FPS,3 years,Moderate
2889,Advanced,Puzzle,1.5 years,Challenging
2890,Intermediate,Simulation,1.5 years,Challenging
2891,Beginner,Adventure,1.5 years,Difficult
2892,Advanced,Platformer,2 years,Difficult
2893,Intermediate,FPS,3 years,Easy
2894,Intermediate,Racing,2 years,Easy
2895,Intermediate,Adventure,4 years,Difficult
2896,Advanced,Strategy,2 years,Difficult
2897,Intermediate,Adventure,1 year,Moderate
2898,Advanced,Puzzle,3 years,Difficult
2899,Advanced,Simulation,5 years,Moderate
2900,Advanced,Puzzle,2 years,Challenging
2901,Advanced,Racing,1 year,Moderate
2902,Beginner,Platformer,2.5 years,Difficult
2903,Beginner,Puzzle,3 years,Moderate
2904,Beginner,Sports,2 years,Difficult
2905,Beginner,Platformer,2 years,Challenging
2906,Advanced,Simulation,6 months,Easy
2907,Advanced,Platformer,1.5 years,Easy
2908,Intermediate,Sports,2.5 years,Difficult
2909,Advanced,Simulation,2.5 years,Easy
2910,Advanced,Puzzle,6 months,Easy
2911,Intermediate,FPS,2 years,Difficult
2912,Beginner,Sports,1.5 years,Challenging
2913,Beginner,Simulation,5 years,Easy
2914,Beginner,Adventure,5 years,Moderate
2915,Beginner,RPG,2 years,Moderate
2916,Beginner,Sports,1 year,Challenging
2917,Beginner,Racing,1.5 years,Challenging
2918,Intermediate,RPG,1 year,Moderate
2919,Beginner,Strategy,3 years,Challenging
2920,Beginner,FPS,2.5 years,Difficult
2921,Advanced,Puzzle,4 years,Difficult
2922,Beginner,Adventure,6 months,Easy
2923,Beginner,FPS,2.5 years,Difficult
2924,Intermediate,RPG,5 years,Difficult
2925,Intermediate,FPS,2.5 years,Moderate
2926,Intermediate,Strategy,2 years,Challenging
2927,Beginner,Strategy,4 years,Easy
2928,Advanced,RPG,3 years,Easy
2929,Beginner,RPG,2.5 years,Challenging
2930,Beginner,Puzzle,6 months,Challenging
2931,Intermediate,Platformer,6 months,Moderate
2932,Advanced,Simulation,2.5 years,Easy
2933,Advanced,Platformer,3 years,Moderate
2934,Advanced,Platformer,2.5 years,Easy
2935,Beginner,Adventure,3 years,Moderate
2936,Beginner,Simulation,2 years,Easy
2937,Advanced,Strategy,6 months,Difficult
2938,Intermediate,FPS,3 years,Easy
2939,Beginner,FPS,1 year,Easy
2940,Beginner,Sports,5 years,Difficult
2941,Beginner,Racing,5 years,Moderate
2942,Beginner,RPG,4 years,Easy
2943,Intermediate,Strategy,2.5 years,Moderate
2944,Intermediate,Adventure,6 months,Challenging
2945,Beginner,Strategy,1 year,Moderate
2946,Advanced,Strategy,1.5 years,Difficult
2947,Advanced,RPG,2 years,Moderate
2948,Advanced,Simulation,1 year,Easy
2949,Beginner,Sports,6 months,Easy
2950,Advanced,Puzzle,1.5 years,Challenging
2951,Advanced,Simulation,6 months,Challenging
2952,Intermediate,Racing,4 years,Moderate
2953,Beginner,Adventure,1 year,Difficult
2954,Intermediate,Adventure,5 years,Difficult
2955,Intermediate,Sports,6 months,Easy
2956,Beginner,Puzzle,1 year,Challenging
2957,Beginner,Strategy,6 months,Moderate
2958,Intermediate,RPG,3 years,Difficult
2959,Beginner,Puzzle,1 year,Easy
2960,Intermediate,Platformer,4 years,Easy
2961,Advanced,Adventure,4 years,Moderate
2962,Intermediate,Adventure,1 year,Moderate
2963,Intermediate,Sports,4 years,Moderate
2964,Beginner,Racing,2.5 years,Difficult
2965,Intermediate,Simulation,2.5 years,Moderate
2966,Intermediate,Puzzle,2.5 years,Challenging
2967,Beginner,Adventure,1 year,Challenging
2968,Beginner,FPS,1.5 years,Challenging
2969,Intermediate,Platformer,1.5 years,Difficult
2970,Advanced,FPS,6 months,Moderate
2971,Intermediate,Platformer,6 months,Easy
2972,Advanced,Sports,2 years,Easy
2973,Intermediate,Platformer,1.5 years,Difficult
2974,Advanced,Puzzle,6 months,Difficult
2975,Beginner,RPG,2.5 years,Challenging
2976,Intermediate,Strategy,2 years,Difficult
2977,Beginner,Sports,3 years,Easy
2978,Beginner,FPS,4 years,Difficult
2979,Advanced,Adventure,3 years,Easy
2980,Intermediate,Simulation,3 years,Easy
2981,Advanced,Adventure,6 months,Challenging
2982,Advanced,Simulation,6 months,Difficult
2983,Intermediate,Simulation,6 months,Challenging
2984,Intermediate,Strategy,3 years,Moderate
2985,Beginner,FPS,3 years,Moderate
2986,Beginner,Racing,5 years,Easy
2987,Intermediate,Simulation,4 years,Difficult
2988,Advanced,Racing,4 years,Moderate
2989,Advanced,Sports,1 year,Challenging
2990,Advanced,RPG,1 year,Challenging
2991,Intermediate,Platformer,3 years,Challenging
2992,Beginner,Strategy,2.5 years,Moderate
2993,Beginner,FPS,1.5 years,Challenging
2994,Intermediate,Puzzle,6 months,Easy
2995,Intermediate,RPG,5 years,Difficult
2996,Beginner,Platformer,5 years,Easy
2997,Intermediate,Sports,1.5 years,Challenging
2998,Intermediate,Sports,2 years,Easy
2999,Intermediate,FPS,4 years,Challenging
3000,Beginner,Strategy,1 year,Easy
3001,Beginner,Strategy,6 months,Easy
3002,Intermediate,Sports,5 years,Difficult
3003,Intermediate,Sports,3 years,Moderate
3004,Intermediate,RPG,5 years,Challenging
3005,Advanced,FPS,2.5 years,Challenging
3006,Beginner,Simulation,2 years,Moderate
3007,Intermediate,Puzzle,5 years,Easy
3008,Beginner,Simulation,2.5 years,Moderate
3009,Beginner,Adventure,1.5 years,Moderate
3010,Beginner,Puzzle,3 years,Challenging
3011,Intermediate,Racing,2.5 years,Difficult
3012,Beginner,RPG,2.5 years,Easy
3013,Beginner,Racing,4 years,Moderate
3014,Advanced,Platformer,2 years,Moderate
3015,Intermediate,Simulation,3 years,Easy
3016,Beginner,Puzzle,4 years,Moderate
3017,Intermediate,Adventure,3 years,Moderate
3018,Intermediate,Simulation,2.5 years,Moderate
3019,Advanced,RPG,4 years,Moderate
3020,Beginner,Puzzle,2.5 years,Easy
3021,Beginner,Sports,1.5 years,Difficult
3022,Intermediate,Strategy,5 years,Difficult
3023,Beginner,Racing,5 years,Challenging
3024,Advanced,Racing,4 years,Challenging
3025,Beginner,Adventure,4 years,Challenging
3026,Beginner,Puzzle,1 year,Easy
3027,Advanced,Platformer,6 months,Easy
3028,Intermediate,Strategy,2 years,Difficult
3029,Advanced,Racing,5 years,Easy
3030,Beginner,Platformer,4 years,Moderate
3031,Advanced,Adventure,3 years,Challenging
3032,Beginner,Racing,2 years,Moderate
3033,Intermediate,Adventure,2.5 years,Difficult
3034,Intermediate,Strategy,2.5 years,Challenging
3035,Intermediate,Platformer,5 years,Moderate
3036,Advanced,Puzzle,1.5 years,Challenging
3037,Intermediate,Adventure,6 months,Moderate
3038,Beginner,RPG,2 years,Challenging
3039,Advanced,RPG,3 years,Easy
3040,Advanced,Simulation,1 year,Challenging
3041,Intermediate,Racing,2.5 years,Easy
3042,Advanced,Strategy,1 year,Difficult
3043,Advanced,Simulation,2 years,Easy
3044,Beginner,Puzzle,1 year,Challenging
3045,Intermediate,Adventure,5 years,Difficult
3046,Intermediate,FPS,1.5 years,Easy
3047,Beginner,Simulation,1.5 years,Challenging
3048,Beginner,FPS,5 years,Moderate
3049,Intermediate,Adventure,3 years,Moderate
3050,Intermediate,Strategy,1 year,Challenging
3051,Beginner,Simulation,4 years,Moderate
3052,Advanced,Racing,5 years,Moderate
3053,Beginner,Platformer,2 years,Easy
3054,Advanced,Strategy,1.5 years,Difficult
3055,Advanced,Adventure,5 years,Challenging
3056,Advanced,Strategy,2 years,Challenging
3057,Intermediate,Simulation,1.5 years,Easy
3058,Advanced,FPS,4 years,Easy
3059,Beginner,Strategy,2.5 years,Moderate
3060,Intermediate,Platformer,1.5 years,Easy
3061,Advanced,Simulation,2 years,Difficult
3062,Intermediate,FPS,1.5 years,Moderate
3063,Beginner,Strategy,1.5 years,Challenging
3064,Intermediate,RPG,1 year,Challenging
3065,Intermediate,FPS,1 year,Difficult
3066,Beginner,Racing,3 years,Difficult
3067,Advanced,Adventure,3 years,Easy
3068,Beginner,Puzzle,2 years,Moderate
3069,Intermediate,RPG,1.5 years,Challenging
3070,Beginner,Sports,5 years,Difficult
3071,Beginner,FPS,6 months,Moderate
3072,Intermediate,Simulation,5 years,Moderate
3073,Beginner,Sports,1.5 years,Easy
3074,Advanced,Platformer,5 years,Difficult
3075,Beginner,Sports,3 years,Difficult
3076,Advanced,Racing,5 years,Easy
3077,Beginner,Strategy,4 years,Moderate
3078,Intermediate,Racing,3 years,Easy
3079,Advanced,Puzzle,2 years,Easy
3080,Intermediate,Platformer,2.5 years,Easy
3081,Beginner,FPS,2.5 years,Challenging
3082,Intermediate,RPG,1.5 years,Moderate
3083,Beginner,Sports,4 years,Moderate
3084,Intermediate,Simulation,2.5 years,Moderate
3085,Advanced,Simulation,1.5 years,Easy
3086,Advanced,Simulation,6 months,Moderate
3087,Intermediate,Platformer,5 years,Moderate
3088,Intermediate,Adventure,2.5 years,Easy
3089,Beginner,Sports,5 years,Moderate
3090,Intermediate,RPG,1 year,Easy
3091,Intermediate,Sports,6 months,Difficult
3092,Intermediate,Simulation,4 years,Difficult
3093,Advanced,Adventure,6 months,Difficult
3094,Advanced,RPG,1 year,Challenging
3095,Intermediate,Racing,1 year,Moderate
3096,Intermediate,FPS,1 year,Moderate
3097,Intermediate,Puzzle,5 years,Moderate
3098,Beginner,FPS,4 years,Challenging
3099,Beginner,Strategy,4 years,Easy
3100,Beginner,Strategy,4 years,Challenging
3101,Advanced,Racing,1 year,Challenging
3102,Beginner,Strategy,1 year,Moderate
3103,Intermediate,FPS,2 years,Difficult
3104,Intermediate,RPG,5 years,Challenging
3105,Intermediate,Puzzle,3 years,Challenging
3106,Beginner,Racing,1 year,Challenging
3107,Advanced,RPG,4 years,Difficult
3108,Beginner,Platformer,2 years,Challenging
3109,Advanced,Sports,2.5 years,Moderate
3110,Advanced,Strategy,6 months,Easy
3111,Advanced,Racing,1 year,Challenging
3112,Intermediate,Platformer,3 years,Moderate
3113,Beginner,Strategy,1.5 years,Easy
3114,Intermediate,Adventure,1.5 years,Moderate
3115,Advanced,Platformer,5 years,Easy
3116,Beginner,FPS,1 year,Challenging
3117,Advanced,Sports,2.5 years,Easy
3118,Beginner,Simulation,4 years,Difficult
3119,Intermediate,Simulation,6 months,Moderate
3120,Advanced,Strategy,2.5 years,Easy
3121,Intermediate,Racing,2.5 years,Moderate
3122,Intermediate,RPG,1.5 years,Difficult
3123,Intermediate,Simulation,2 years,Difficult
3124,Advanced,Strategy,2.5 years,Easy
3125,Beginner,Racing,1 year,Moderate
3126,Beginner,Strategy,5 years,Moderate
3127,Beginner,Platformer,2 years,Challenging
3128,Beginner,Platformer,5 years,Moderate
3129,Intermediate,Sports,3 years,Moderate
3130,Intermediate,Racing,2.5 years,Easy
3131,Beginner,Strategy,6 months,Challenging
3132,Intermediate,Sports,6 months,Moderate
3133,Beginner,Racing,2.5 years,Challenging
3134,Advanced,Racing,4 years,Challenging
3135,Beginner,Strategy,2.5 years,Easy
3136,Beginner,Puzzle,5 years,Challenging
3137,Beginner,Sports,4 years,Challenging
3138,Beginner,RPG,4 years,Difficult
3139,Intermediate,Simulation,4 years,Challenging
3140,Advanced,Sports,5 years,Moderate
3141,Advanced,Strategy,5 years,Difficult
3142,Advanced,Platformer,3 years,Easy
3143,Advanced,Puzzle,3 years,Difficult
3144,Advanced,Sports,3 years,Moderate
3145,Advanced,Strategy,5 years,Moderate
3146,Beginner,Racing,2 years,Easy
3147,Advanced,Strategy,2 years,Difficult
3148,Intermediate,Simulation,1 year,Challenging
3149,Intermediate,Platformer,2.5 years,Difficult
3150,Beginner,FPS,3 years,Easy
